   642,000ms ID:00010172 Pr:00000000             0 +         2,910 8E7E18331EE538583C8DA236F8BF33C9          ReleaseRequest(): Success "mods\core.stormmod\base.stormdata" "heroes_regions.xml"
   877,031ms ID:0001017C Pr:01040000             0 +     1,390,205 D1A5DCD55871F76BAB87E1B61F40086D          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_1_Alt1.ogg"
   877,031ms ID:0001017C Pr:01040000             0 +     1,390,205 D1A5DCD55871F76BAB87E1B61F40086D          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_1_Alt1.ogg"
   877,031ms ID:0001017D Pr:01040000             0 +     1,752,468 8CE97D47F145F83A6DC9C0FC05017247          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_TutorialPlatform_Loop01.ogg"
   877,031ms ID:0001017D Pr:01040000             0 +     1,752,468 8CE97D47F145F83A6DC9C0FC05017247          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_TutorialPlatform_Loop01.ogg"
   877,031ms ID:0001017D Pr:01040000             0 +     1,752,468 8CE97D47F145F83A6DC9C0FC05017247          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_TutorialPlatform_Loop01.ogg"
   969,046ms ID:0001017E Pr:01040000             0 +     4,951,392 28901C0D61B6765DD5647C6F80A70F1B          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Heroes_Symphony_Part1.ogg"
   969,046ms ID:0001017E Pr:01040000             0 +     4,951,392 28901C0D61B6765DD5647C6F80A70F1B          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Heroes_Symphony_Part1.ogg"
   969,046ms ID:0001017E Pr:01040000             0 +     4,951,392 28901C0D61B6765DD5647C6F80A70F1B          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Heroes_Symphony_Part1.ogg"
   985,968ms ID:0001017F Pr:01040000             0 +     2,392,639 CFBEE44C1B5725FB6E31719DECBDCF36          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Docks02.ogg"
   985,968ms ID:0001017F Pr:01040000             0 +     2,392,639 CFBEE44C1B5725FB6E31719DECBDCF36          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Docks02.ogg"
   985,968ms ID:0001017F Pr:01040000             0 +     2,392,639 CFBEE44C1B5725FB6E31719DECBDCF36          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Docks02.ogg"
   989,718ms ID:00010180 Pr:01040000             0 +     2,454,948 ED2FECF0BA5B25E6BBDDF5B3B507E664          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_RavenCourt01_Loop01.ogg"
   989,718ms ID:00010180 Pr:01040000             0 +     2,454,948 ED2FECF0BA5B25E6BBDDF5B3B507E664          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_RavenCourt01_Loop01.ogg"
   989,718ms ID:00010180 Pr:01040000             0 +     2,454,948 ED2FECF0BA5B25E6BBDDF5B3B507E664          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_RavenCourt01_Loop01.ogg"
 1,114,281ms ID:00010181 Pr:01040000             0 +     2,392,639 CFBEE44C1B5725FB6E31719DECBDCF36          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Docks02.ogg"
 1,114,281ms ID:00010181 Pr:01040000             0 +     2,392,639 CFBEE44C1B5725FB6E31719DECBDCF36          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Docks02.ogg"
 1,114,281ms ID:00010181 Pr:01040000             0 +     2,392,639 CFBEE44C1B5725FB6E31719DECBDCF36          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Docks02.ogg"
 1,201,171ms ID:00010182 Pr:01040000             0 +     2,392,639 CFBEE44C1B5725FB6E31719DECBDCF36          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Docks02.ogg"
 1,201,171ms ID:00010182 Pr:01040000             0 +     2,392,639 CFBEE44C1B5725FB6E31719DECBDCF36          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Docks02.ogg"
 1,201,171ms ID:00010182 Pr:01040000             0 +     2,392,639 CFBEE44C1B5725FB6E31719DECBDCF36          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Docks02.ogg"
 1,265,703ms ID:00010183 Pr:01040000             0 +     3,645,967 D2BE7483A63BE3A17C97BC59F4D6C540          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_TheBattleBegins_Alt1.ogg"
 1,265,703ms ID:00010183 Pr:01040000             0 +     3,645,967 D2BE7483A63BE3A17C97BC59F4D6C540          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_TheBattleBegins_Alt1.ogg"
 1,265,703ms ID:00010183 Pr:01040000             0 +     3,645,967 D2BE7483A63BE3A17C97BC59F4D6C540          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_TheBattleBegins_Alt1.ogg"
 3,080,890ms ID:00010184 Pr:01040000             0 +     2,313,280 6E12DD64CCC792F3B3E2507E312235AA          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_LuxCrypt_5.ogg"
 3,080,890ms ID:00010184 Pr:01040000             0 +     2,313,280 6E12DD64CCC792F3B3E2507E312235AA          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_LuxCrypt_5.ogg"
 3,080,890ms ID:00010184 Pr:01040000             0 +     2,313,280 6E12DD64CCC792F3B3E2507E312235AA          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_LuxCrypt_5.ogg"
 3,124,500ms ID:00010185 Pr:01040000             0 +     2,392,639 CFBEE44C1B5725FB6E31719DECBDCF36          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Docks02.ogg"
 3,124,500ms ID:00010185 Pr:01040000             0 +     2,392,639 CFBEE44C1B5725FB6E31719DECBDCF36          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Docks02.ogg"
 3,124,500ms ID:00010185 Pr:01040000             0 +     2,392,639 CFBEE44C1B5725FB6E31719DECBDCF36          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Docks02.ogg"
 3,124,500ms ID:00010186 Pr:01040000             0 +     2,959,684 9C4B39F0E8E31BD7D4468EE77D1B5898          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Docks\Storm_Music_Docks_01.ogg"
 3,124,515ms ID:00010186 Pr:01040000             0 +     2,959,684 9C4B39F0E8E31BD7D4468EE77D1B5898          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Docks\Storm_Music_Docks_01.ogg"
 3,124,515ms ID:00010186 Pr:01040000             0 +     2,959,684 9C4B39F0E8E31BD7D4468EE77D1B5898          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Docks\Storm_Music_Docks_01.ogg"
 3,124,515ms ID:00010187 Pr:01040000             0 +     3,047,504 B518A85D8D82ADA22BE3A1E6226DBA27          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Dragonshire1.ogg"
 3,124,515ms ID:00010188 Pr:01040000             0 +     1,910,620 670B0E20DC734FD2613FF2BD7F4375AF          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day1.ogg"
 3,124,515ms ID:00010187 Pr:01040000             0 +     3,047,504 B518A85D8D82ADA22BE3A1E6226DBA27          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Dragonshire1.ogg"
 3,124,515ms ID:00010188 Pr:01040000             0 +     1,910,620 670B0E20DC734FD2613FF2BD7F4375AF          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day1.ogg"
 3,124,515ms ID:00010187 Pr:01040000             0 +     3,047,504 B518A85D8D82ADA22BE3A1E6226DBA27          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Dragonshire1.ogg"
 3,124,515ms ID:00010188 Pr:01040000             0 +     1,910,620 670B0E20DC734FD2613FF2BD7F4375AF          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day1.ogg"
 3,147,843ms ID:00010189 Pr:01040000             0 +     2,247,007 3F30956B938CE2A1C9DBB9408F076949          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_2_Alt1.ogg"
 3,147,843ms ID:00010189 Pr:01040000             0 +     2,247,007 3F30956B938CE2A1C9DBB9408F076949          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_2_Alt1.ogg"
 3,147,843ms ID:00010189 Pr:01040000             0 +     2,247,007 3F30956B938CE2A1C9DBB9408F076949          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_2_Alt1.ogg"
 3,219,750ms ID:0001018A Pr:01040000             0 +     2,247,007 3F30956B938CE2A1C9DBB9408F076949          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_2_Alt1.ogg"
 3,219,750ms ID:0001018A Pr:01040000             0 +     2,247,007 3F30956B938CE2A1C9DBB9408F076949          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_2_Alt1.ogg"
 3,219,750ms ID:0001018A Pr:01040000             0 +     2,247,007 3F30956B938CE2A1C9DBB9408F076949          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_2_Alt1.ogg"
 3,291,984ms ID:0001018B Pr:01040000             0 +     1,677,428 8ABFAC3CE58D218DD21EA67DA1FCB59A          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_YoureDead2_Loop.ogg"
 3,291,984ms ID:0001018B Pr:01040000             0 +     1,677,428 8ABFAC3CE58D218DD21EA67DA1FCB59A          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_YoureDead2_Loop.ogg"
 3,291,984ms ID:0001018B Pr:01040000             0 +     1,677,428 8ABFAC3CE58D218DD21EA67DA1FCB59A          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_YoureDead2_Loop.ogg"
 3,302,312ms ID:0001018C Pr:01040000             0 +     1,390,205 D1A5DCD55871F76BAB87E1B61F40086D          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_1_Alt1.ogg"
 3,302,312ms ID:0001018C Pr:01040000             0 +     1,390,205 D1A5DCD55871F76BAB87E1B61F40086D          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_1_Alt1.ogg"
 3,302,312ms ID:0001018C Pr:01040000             0 +     1,390,205 D1A5DCD55871F76BAB87E1B61F40086D          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_1_Alt1.ogg"
 3,469,531ms ID:0001018D Pr:01040000             0 +     1,390,205 D1A5DCD55871F76BAB87E1B61F40086D          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_1_Alt1.ogg"
 3,469,531ms ID:0001018D Pr:01040000             0 +     1,390,205 D1A5DCD55871F76BAB87E1B61F40086D          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_1_Alt1.ogg"
 3,469,531ms ID:0001018D Pr:01040000             0 +     1,390,205 D1A5DCD55871F76BAB87E1B61F40086D          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_1_Alt1.ogg"
 3,471,859ms ID:0001018E Pr:01040000             0 +       139,086 0E0D58C0572E775ACA1202E4F0D4D338          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Stinger_Fort_Destroyed_Player.ogg"
 3,471,859ms ID:0001018E Pr:01040000             0 +       139,086 0E0D58C0572E775ACA1202E4F0D4D338          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Stinger_Fort_Destroyed_Player.ogg"
 3,471,859ms ID:0001018E Pr:01040000             0 +       139,086 0E0D58C0572E775ACA1202E4F0D4D338          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Stinger_Fort_Destroyed_Player.ogg"
 3,539,046ms ID:0001018F Pr:01040000             0 +        33,852 100E6C2C42038831940577E4D02C2179          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Generic\Test_NoSound.wav"
 3,539,046ms ID:0001018F Pr:01040000             0 +        33,852 100E6C2C42038831940577E4D02C2179          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Generic\Test_NoSound.wav"
 3,539,046ms ID:0001018F Pr:01040000             0 +        33,852 100E6C2C42038831940577E4D02C2179          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Generic\Test_NoSound.wav"
 3,551,109ms ID:00010190 Pr:01040000             0 +     1,550,218 9D9FEC5C8264E7688B814120F835FA51          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_Gluescreen_Loop_01.ogg"
 3,551,109ms ID:00010190 Pr:01040000             0 +     1,550,218 9D9FEC5C8264E7688B814120F835FA51          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_Gluescreen_Loop_01.ogg"
 3,551,109ms ID:00010190 Pr:01040000             0 +     1,550,218 9D9FEC5C8264E7688B814120F835FA51          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_Gluescreen_Loop_01.ogg"
 3,551,109ms ID:00010191 Pr:01040000             0 +     1,224,477 8FD31F48D216A42A3728DB3B933B5F6B          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus1.ogg"
 3,551,109ms ID:00010192 Pr:01040000             0 +     4,360,554 9D63C30B5E355EE7FD100E985647D56C          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus3.ogg"
 3,551,109ms ID:00010191 Pr:01040000             0 +     1,224,477 8FD31F48D216A42A3728DB3B933B5F6B          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus1.ogg"
 3,551,109ms ID:00010192 Pr:01040000             0 +     4,360,554 9D63C30B5E355EE7FD100E985647D56C          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus3.ogg"
 3,551,109ms ID:00010191 Pr:01040000             0 +     1,224,477 8FD31F48D216A42A3728DB3B933B5F6B          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus1.ogg"
 3,551,109ms ID:00010192 Pr:01040000             0 +     4,360,554 9D63C30B5E355EE7FD100E985647D56C          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus3.ogg"
 3,551,109ms ID:00010193 Pr:01040000             0 +     3,825,200 FA5F4FC37807C44B505E16614310ACD8          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus4.ogg"
 3,551,109ms ID:00010194 Pr:01040000             0 +     2,705,131 18A75EA52C99CE73F97A5800F26D510B          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus5.ogg"
 3,551,109ms ID:00010193 Pr:01040000             0 +     3,825,200 FA5F4FC37807C44B505E16614310ACD8          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus4.ogg"
 3,551,109ms ID:00010194 Pr:01040000             0 +     2,705,131 18A75EA52C99CE73F97A5800F26D510B          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus5.ogg"
 3,551,109ms ID:00010193 Pr:01040000             0 +     3,825,200 FA5F4FC37807C44B505E16614310ACD8          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus4.ogg"
 3,551,109ms ID:00010194 Pr:01040000             0 +     2,705,131 18A75EA52C99CE73F97A5800F26D510B          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus5.ogg"
 3,551,109ms ID:00010195 Pr:01040000             0 +     2,939,587 EB8B28FDD39049084CF31F5A11C0FE27          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus6.ogg"
 3,551,109ms ID:00010196 Pr:01040000             0 +     3,486,830 38BEEFDC13130CBC621CC2F0912CEF9B          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus7.ogg"
 3,551,109ms ID:00010195 Pr:01040000             0 +     2,939,587 EB8B28FDD39049084CF31F5A11C0FE27          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus6.ogg"
 3,551,109ms ID:00010196 Pr:01040000             0 +     3,486,830 38BEEFDC13130CBC621CC2F0912CEF9B          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus7.ogg"
 3,551,109ms ID:00010195 Pr:01040000             0 +     2,939,587 EB8B28FDD39049084CF31F5A11C0FE27          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus6.ogg"
 3,551,109ms ID:00010196 Pr:01040000             0 +     3,486,830 38BEEFDC13130CBC621CC2F0912CEF9B          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus7.ogg"
 3,551,109ms ID:00010197 Pr:01040000             0 +     3,696,194 45CA4E67C73DB4E22307ABEA6AE982CF          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus8.ogg"
 3,551,109ms ID:00010197 Pr:01040000             0 +     3,696,194 45CA4E67C73DB4E22307ABEA6AE982CF          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus8.ogg"
 3,551,109ms ID:00010197 Pr:01040000             0 +     3,696,194 45CA4E67C73DB4E22307ABEA6AE982CF          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus8.ogg"
 3,551,390ms ID:00010198 Pr:01040000             0 +     1,224,477 8FD31F48D216A42A3728DB3B933B5F6B          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus1.ogg"
 3,551,390ms ID:00010199 Pr:01040000             0 +     4,360,554 9D63C30B5E355EE7FD100E985647D56C          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus3.ogg"
 3,551,390ms ID:00010198 Pr:01040000             0 +     1,224,477 8FD31F48D216A42A3728DB3B933B5F6B          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus1.ogg"
 3,551,390ms ID:00010199 Pr:01040000             0 +     4,360,554 9D63C30B5E355EE7FD100E985647D56C          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus3.ogg"
